epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,10523.1,1.18883,0.79625,1.15655,0.89704,0.70573,0.78397,0.56809,0.92955,0.57739,0.97333,0.000419145,0.000419145,0.000419145
76,10650.4,1.17392,0.77974,1.14605,0.93516,0.6928,0.78063,0.57199,0.91066,0.56538,0.97926,0.000414806,0.000414806,0.000414806
77,10780.4,1.16453,0.77457,1.14172,0.93944,0.69582,0.77877,0.55688,0.95737,0.58312,0.98085,0.000410438,0.000410438,0.000410438
78,10906.8,1.16515,0.78581,1.14729,0.93513,0.69981,0.77851,0.56501,0.92509,0.56777,0.97075,0.000406043,0.000406043,0.000406043
79,11038.8,1.18046,0.7938,1.15596,0.94338,0.67668,0.78021,0.56319,0.94282,0.57809,0.98277,0.000401622,0.000401622,0.000401622
80,11194.3,1.16228,0.77762,1.13294,0.91268,0.68672,0.77873,0.5745,0.88513,0.57295,0.96232,0.000397176,0.000397176,0.000397176
81,11330.8,1.16241,0.76995,1.1284,0.94026,0.68811,0.78368,0.57786,0.87738,0.56261,0.95917,0.000392706,0.000392706,0.000392706
82,11460.1,1.18072,0.77795,1.14028,0.93917,0.69569,0.78626,0.57302,0.89095,0.56563,0.96296,0.000388213,0.000388213,0.000388213
83,11585.9,1.15095,0.74135,1.13163,0.92796,0.70966,0.78617,0.57971,0.8678,0.56587,0.95348,0.000383698,0.000383698,0.000383698
84,11717.9,1.18097,0.78142,1.14287,0.92876,0.70355,0.78001,0.57668,0.89092,0.55878,0.96269,0.000379163,0.000379163,0.000379163
85,11849.1,1.15935,0.77391,1.12896,0.92278,0.70648,0.78415,0.57207,0.8707,0.55883,0.94534,0.000374608,0.000374608,0.000374608
1,125.523,1.19549,0.81719,1.14844,0.9388,0.6813,0.76986,0.55414,0.91891,0.5835,0.97573,0.0401647,0.000119457,0.000119457
2,262.307,1.17098,0.79558,1.14022,0.92233,0.67311,0.76558,0.5724,0.83344,0.56856,0.94179,0.0302847,0.000239403,0.000239403
3,414.199,1.15814,0.77418,1.13445,0.89468,0.70052,0.76425,0.55354,0.96289,0.59412,0.9782,0.0204044,0.000359135,0.000359135
4,526.936,1.17614,0.79247,1.14816,0.90419,0.70131,0.77607,0.56681,0.91605,0.58616,0.97743,0.0105237,0.000478492,0.000478492
5,648.119,1.15963,0.78628,1.14228,0.91296,0.70004,0.77784,0.58984,0.81504,0.57521,0.95414,0.000642562,0.000597313,0.000597313
6,770.776,1.16826,0.79531,1.14537,0.9116,0.69005,0.77209,0.54098,1.06277,0.63785,1.01689,0.000596649,0.000596649,0.000596649
7,893.958,1.1902,0.79512,1.15441,0.93653,0.67437,0.77854,0.57188,0.86962,0.58347,0.96395,0.000595179,0.000595179,0.000595179
8,1006.01,1.16341,0.78536,1.13838,0.87343,0.71636,0.77802,0.56391,0.92399,0.59129,0.97039,0.000593444,0.000593444,0.000593444
9,1142.95,1.15369,0.78456,1.14795,0.90254,0.71229,0.77364,0.55613,0.95159,0.6026,0.98933,0.000591447,0.000591447,0.000591447
10,1256.41,1.15202,0.77046,1.13284,0.91585,0.68954,0.77255,0.55119,0.97451,0.58545,0.99662,0.000589189,0.000589189,0.000589189
11,1409.45,1.17498,0.79438,1.14797,0.9205,0.6959,0.77643,0.55786,0.92885,0.58229,0.97732,0.000586672,0.000586672,0.000586672
12,1534.44,1.18177,0.80189,1.14982,0.90028,0.6892,0.76808,0.56697,0.89294,0.58468,0.98378,0.000583898,0.000583898,0.000583898
1,152.138,1.15016,0.78831,1.13006,0.91511,0.68461,0.76419,0.5391,0.96731,0.6153,1.00907,0.0401647,0.000119457,0.000119457
1,127.441,1.05086,0.71505,1.08953,0.88827,0.67869,0.75357,0.53838,0.95545,0.61519,1.00735,0.0401647,0.000119457,0.000119457
2,264.047,1.07823,0.71811,1.09777,0.92338,0.68346,0.77073,0.57189,0.85471,0.59198,0.97328,0.0302841,0.000238801,0.000238801
3,407.295,1.03059,0.68296,1.07535,0.89727,0.70503,0.77235,0.53831,1.02806,0.62168,1.00115,0.0204008,0.00035553,0.00035553
4,542.092,1.05366,0.69283,1.08969,0.93634,0.68908,0.77638,0.57693,0.853,0.59258,0.96229,0.010513,0.000467724,0.000467724
5,665.076,1.09364,0.72995,1.1089,0.89916,0.69625,0.76871,0.55952,0.85941,0.59835,0.97185,0.000618793,0.000573544,0.000573544
6,802.024,1.1732,0.79566,1.14531,0.93197,0.67999,0.76619,0.54164,1.00549,0.61909,0.99301,0.000559808,0.000559808,0.000559808
7,930.64,1.19091,0.79523,1.15249,0.90416,0.70501,0.77633,0.57035,0.86525,0.59019,0.9608,0.000542705,0.000542705,0.000542705
8,1056.7,1.17157,0.77945,1.13409,0.90905,0.69764,0.76947,0.55267,0.95628,0.59971,0.98142,0.000522944,0.000522944,0.000522944
9,1186.99,1.14763,0.7665,1.14141,0.90554,0.70362,0.77464,0.55982,0.90899,0.59363,0.97179,0.00050074,0.00050074,0.00050074
10,1312.16,1.14137,0.75198,1.12541,0.91479,0.70047,0.77967,0.5623,0.91438,0.58877,0.97847,0.000476336,0.000476336,0.000476336
11,1458.43,1.16136,0.77621,1.13719,0.90216,0.692,0.76218,0.55717,0.93452,0.58735,0.97349,0.000450001,0.000450001,0.000450001
12,1599.48,1.15987,0.77269,1.14085,0.90194,0.7173,0.78066,0.56768,0.90119,0.57278,0.96965,0.000422022,0.000422022,0.000422022
13,1722.82,1.12453,0.7534,1.12273,0.8903,0.7228,0.78413,0.56656,0.93655,0.58544,0.98586,0.000392706,0.000392706,0.000392706
14,1856.48,1.13925,0.74121,1.12734,0.89402,0.71745,0.77598,0.56777,0.92699,0.58946,0.98151,0.000362375,0.000362375,0.000362375
15,1989.9,1.12353,0.72868,1.1242,0.92408,0.68426,0.7741,0.5697,0.91992,0.59982,0.97774,0.00033136,0.00033136,0.00033136
16,2154.42,1.13006,0.7486,1.13022,0.89137,0.71238,0.77926,0.58421,0.84994,0.56079,0.95853,0.000300002,0.000300002,0.000300002
17,2292.54,1.12234,0.74059,1.12548,0.95496,0.68224,0.7821,0.57503,0.90023,0.56889,0.97057,0.000268643,0.000268643,0.000268643
18,2448.32,1.10354,0.72053,1.11203,0.90083,0.71935,0.78547,0.58744,0.86648,0.5413,0.95915,0.000237628,0.000237628,0.000237628
19,2627.64,1.09859,0.71603,1.10346,0.9165,0.70692,0.78628,0.59007,0.86806,0.53597,0.9525,0.000207297,0.000207297,0.000207297
20,2756.19,1.09004,0.69755,1.10246,0.93782,0.69428,0.78824,0.60187,0.82106,0.53704,0.93868,0.000177981,0.000177981,0.000177981
21,2897.69,0.91903,0.50601,1.03104,0.94376,0.68836,0.7875,0.58963,0.8477,0.53648,0.94648,0.000150002,0.000150002,0.000150002
22,3013.03,0.91238,0.49377,1.02337,0.92229,0.70839,0.78694,0.59482,0.85151,0.53692,0.95008,0.000123667,0.000123667,0.000123667
